Product,Type,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,Perf_per_Watt
AMD EPYC 7371,CPU,14.0,170.0,213.0,4800.0,3100.0,31094.0,17.19,2377.0,1.31,65.0,,16.0,182.90588235294118
Intel Pentium 4 HT 550,CPU,90.0,115.0,109.0,125.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,14.908695652173913
Intel Pentium III 1266S,CPU,130.0,30.0,80.0,44.0,1266.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,57.15
AMD Sempron 140,CPU,45.0,45.0,117.0,234.0,2700.0,471.0,39.42,1044.0,87.38,45.0,10.47,1.0,10.466666666666667
AMD EPYC 7501,CPU,14.0,170.0,213.0,4800.0,2000.0,24925.0,6.89,1925.0,0.53,155.0,160.81,32.0,146.61764705882354
Intel Atom E680,CPU,45.0,4.0,26.0,47.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,428.625
Intel Xeon E5-2690 v2,CPU,22.0,130.0,160.0,1400.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
Intel Xeon Platinum 8380,CPU,10.0,270.0,148.0,624.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,6.35
Intel Xeon Phi 7120A,CPU,22.0,300.0,350.0,5000.0,1238.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
Intel Core i3-8020,CPU,14.0,65.0,148.0,624.0,3700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Atom S1220,CPU,32.0,8.0,148.0,624.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,214.3125
AMD Phenom X4 9600,CPU,65.0,95.0,285.0,450.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Core i3-2330M,CPU,32.0,35.0,149.0,624.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Opteron X2 180,CPU,90.0,110.0,148.0,233.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,15.586363636363636
AMD E2-3200,CPU,32.0,65.0,228.0,1178.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Turion 64 MT-34,CPU,90.0,25.0,125.0,114.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
Intel Pentium III  866,CPU,180.0,38.0,80.0,44.0,866.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,45.11842105263158
Intel Core 2 Quad Q9550S,CPU,45.0,65.0,107.0,820.0,2833.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Core i7-4500U,CPU,22.0,15.0,118.0,1300.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
AMD Opteron X2 185,CPU,90.0,110.0,148.0,233.0,2600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,15.586363636363636
Intel Core i3-8300,CPU,14.0,62.0,148.0,624.0,3700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,27.653225806451612
AMD Ryzen 5 1400,CPU,14.0,65.0,192.0,4800.0,3200.0,7783.0,70.98,1904.0,17.36,65.0,119.74,4.0,119.73846153846154
AMD A4-3300M,CPU,32.0,35.0,228.0,1178.0,1900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Xeon 3.20,CPU,130.0,97.0,237.0,286.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,17.675257731958762
AMD Opteron 848,CPU,90.0,85.0,148.0,106.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.17058823529412
Intel Core 2 Extreme QX6700,CPU,65.0,130.0,143.0,582.0,2666.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
Intel Pentium Gold G6405T,CPU,14.0,35.0,148.0,624.0,3500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD A6-3600,CPU,32.0,65.0,228.0,1178.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Xeon Phi 7120X,CPU,22.0,300.0,350.0,5000.0,1238.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
Intel Core i9-10900K,CPU,14.0,125.0,206.0,624.0,3700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Pentium 2129Y,CPU,22.0,10.0,118.0,1400.0,1100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,171.45
AMD Athlon 64 X2 5600+,CPU,90.0,89.0,220.0,227.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
AMD Athlon II X4 640,CPU,45.0,95.0,169.0,300.0,3000.0,2171.0,108.6,1203.0,60.19,95.0,22.85,4.0,22.852631578947367
Intel Atom Z515,CPU,45.0,1.0,26.0,47.0,1200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,1714.5
AMD EPYC 7302,CPU,7.0,155.0,74.0,3800.0,3000.0,33015.0,29.61,1978.0,1.77,155.0,213,16.0,213.0
Intel Celeron 3205U,CPU,14.0,15.0,148.0,624.0,1500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
Intel Core i3-10305T,CPU,14.0,35.0,148.0,624.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Ryzen 9 5900HX,CPU,7.0,45.0,156.0,9800.0,3300.0,23160.0,15.04,3230.0,7.77,45.0,514.67,8.0,514.6666666666666
AMD EPYC 7502,CPU,7.0,180.0,74.0,3800.0,2500.0,49177.0,17.88,1843.0,0.67,180.0,273.21,32.0,273.2055555555556
AMD Athlon 64 4000+,CPU,90.0,62.0,230.0,227.0,2600.0,340.0,3.4,565.0,5.65,62.0,5.49,1.0,5.483870967741935
Intel Pentium III 1400S,CPU,130.0,32.0,80.0,44.0,1400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,53.578125
Intel Core i7-9850HE,CPU,14.0,45.0,149.0,624.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
AMD Mobile Athlon 64 3400+,CPU,130.0,82.0,193.0,106.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.908536585365855
Intel Xeon E5-2620 v2,CPU,22.0,80.0,160.0,1400.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
Intel Core i9-10850K,CPU,14.0,125.0,206.0,624.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Core i5-11600,CPU,14.0,65.0,148.0,624.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Core i7-3555LE,CPU,22.0,25.0,118.0,624.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
Intel Xeon E3-1220L v2,CPU,22.0,17.0,148.0,624.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,100.8529411764706
Intel Core i3-8130U,CPU,14.0,15.0,123.0,624.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
Intel Xeon Platinum 8260,CPU,14.0,165.0,148.0,8000.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,10.39090909090909
AMD Athlon 64 3500+,CPU,90.0,67.0,156.0,154.0,2200.0,396.0,4.95,568.0,7.1,45.0,8.8,1.0,5.91044776119403
AMD Ryzen 9 5950X,CPU,7.0,105.0,148.0,624.0,3400.0,46195.0,71.1,3498.0,5.38,105.0,439.96,16.0,439.95238095238096
Intel Atom N2600,CPU,32.0,4.0,66.0,176.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,428.625
Intel Xeon Platinum 8352M,CPU,10.0,185.0,148.0,624.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.267567567567568
AMD EPYC 7763,CPU,7.0,280.0,148.0,624.0,2450.0,88338.0,12.1,2635.0,0.36,280.0,315.49,64.0,315.49285714285713
Intel Core i7-8809G,CPU,14.0,65.0,148.0,624.0,3100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Ryzen Threadripper PRO 3955WX,CPU,7.0,280.0,74.0,3800.0,3900.0,40225.0,20.16,2696.0,1.35,280.0,143.66,16.0,143.66071428571428
Intel Celeron 2980U,CPU,22.0,15.0,118.0,1400.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
AMD Athlon 64 X2 4000+,CPU,90.0,89.0,220.0,154.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.264044943820224
Intel Xeon E5-2630L v2,CPU,22.0,60.0,160.0,1400.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,28.575
Intel Core i5-3570,CPU,22.0,77.0,133.0,624.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,22.266233766233768
AMD Ryzen 7 3750H,CPU,12.0,35.0,210.0,4940.0,2300.0,8277.0,15.04,2104.0,7.77,35.0,236.48,4.0,236.4857142857143
Intel A110,CPU,90.0,3.0,66.0,176.0,800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,571.5
AMD Ryzen 5 5500U,CPU,7.0,25.0,156.0,9800.0,2100.0,13190.0,15.04,2459.0,7.77,15.0,879.33,6.0,527.6
Intel Core i9-10800F,CPU,14.0,65.0,148.0,624.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Xeon MP 3.50,CPU,90.0,135.0,148.0,624.0,3500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,12.7
Intel Core i3-10110U,CPU,14.0,25.0,148.0,624.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
Intel Core i3-10305,CPU,14.0,65.0,148.0,624.0,3800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Core Solo T1350,CPU,65.0,27.0,90.0,151.0,1866.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,63.5
AMD A4-5300B,CPU,32.0,65.0,246.0,1178.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Core Duo T2600,CPU,65.0,31.0,90.0,151.0,2166.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,55.306451612903224
Intel Pentium G4500,CPU,14.0,51.0,150.0,1400.0,3500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,33.61764705882353
AMD A8-5600K,CPU,32.0,100.0,246.0,1178.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,17.145
AMD Athlon XP 2600+,CPU,130.0,68.0,80.0,37.0,2133.0,242.0,10.52,380.0,16.49,65.0,,1.0,3.5588235294117645
AMD Athlon 64 3000+,CPU,130.0,89.0,193.0,69.0,2000.0,303.0,15.13,506.0,25.31,89.0,3.4,1.0,3.404494382022472
Intel Pentium D 945,CPU,65.0,95.0,140.0,376.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Celeron B800,CPU,32.0,35.0,131.0,504.0,1500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Atom E665C,CPU,45.0,4.0,26.0,47.0,1300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,428.625
AMD E1-2150,CPU,32.0,9.0,246.0,1178.0,1050.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,190.5
Intel Core i5-10210U,CPU,14.0,25.0,148.0,624.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
AMD Athlon Gold 3150G,CPU,12.0,65.0,148.0,624.0,3500.0,7002.0,15.04,2308.0,7.77,65.0,107.72,4.0,107.72307692307692
Intel Celeron 2.70,CPU,130.0,73.0,146.0,55.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,23.486301369863014
Intel Xeon Gold 5318N,CPU,10.0,150.0,148.0,624.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,11.43
AMD Athlon 64 3500+,CPU,90.0,62.0,230.0,227.0,2200.0,396.0,4.95,568.0,7.1,45.0,8.8,1.0,6.387096774193548
AMD Sempron 3400+ EE SFF,CPU,90.0,35.0,103.0,81.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Core i7-3525M,CPU,22.0,35.0,160.0,1480.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD A6-3410MX,CPU,32.0,45.0,228.0,1178.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
Intel Core i5-450M,CPU,32.0,35.0,81.0,382.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Opteron A1150,CPU,28.0,32.0,148.0,624.0,1700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,53.578125
Intel Pentium G3430,CPU,22.0,54.0,177.0,1400.0,3300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.75
Intel Core i7-10610U,CPU,14.0,25.0,148.0,624.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,68.58
Intel Core i5-4210U,CPU,22.0,15.0,118.0,1400.0,1700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
Intel Core 2 Duo E6420,CPU,65.0,65.0,111.0,167.0,2133.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Athlon XP 1900+,CPU,180.0,68.0,150.0,37.0,1600.0,203.0,4.44,312.0,6.81,65.0,,1.0,2.985294117647059
Intel Pentium III 1400,CPU,130.0,31.0,80.0,44.0,1400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,55.306451612903224
AMD Athlon 64 3000+,CPU,130.0,62.0,148.0,105.0,1800.0,303.0,15.13,506.0,25.31,89.0,3.4,1.0,4.887096774193548
Intel Xeon E3-1290 v2,CPU,22.0,87.0,160.0,1400.0,3700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.70689655172414
AMD Phenom X3 8550,CPU,65.0,95.0,285.0,450.0,2200.0,976.0,32.59,810.0,27.06,95.0,10.27,3.0,10.273684210526316
Intel Core i5-8600K,CPU,14.0,95.0,148.0,624.0,3600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Xeon Platinum 8356H,CPU,14.0,190.0,148.0,624.0,3900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,9.023684210526316
AMD Athlon XP 2200+,CPU,130.0,68.0,80.0,37.0,1800.0,214.0,2.52,335.0,3.94,65.0,,1.0,3.1470588235294117
AMD Athlon Silver PRO 3125GE,CPU,12.0,35.0,148.0,624.0,3400.0,4633.0,15.04,2074.0,7.77,35.0,132.37,2.0,132.37142857142857
Intel Mobile Pentium 4 HT 538,CPU,90.0,88.0,112.0,125.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,19.482954545454547
Intel Core i7-8700,CPU,14.0,65.0,154.0,624.0,3200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Pentium Dual-Core E2220,CPU,65.0,65.0,77.0,105.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD Ryzen 5 4600U,CPU,7.0,25.0,156.0,9800.0,2100.0,13460.0,15.04,2418.0,7.77,15.0,897.36,6.0,538.4
AMD Ryzen Threadripper 2970WX,CPU,12.0,250.0,213.0,19200.0,3000.0,30433.0,45.49,2358.0,3.52,250.0,121.73,24.0,121.732
AMD Opteron X2 875 HE,CPU,90.0,55.0,148.0,233.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.172727272727272
Intel Atom Z605,CPU,45.0,2.0,65.0,140.0,1000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,857.25
Intel Xeon Platinum 8351N,CPU,10.0,225.0,148.0,624.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,7.62
Intel Atom N475,CPU,45.0,7.0,66.0,123.0,1834.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,244.92857142857142
Intel Core i5-3350P,CPU,22.0,69.0,133.0,624.0,3100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,24.847826086956523
Intel Xeon E5-1660 v2,CPU,22.0,130.0,160.0,1400.0,3700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
AMD Sempron 3300+,CPU,90.0,62.0,148.0,69.0,2000.0,315.0,15.74,394.0,19.68,62.0,5.08,1.0,5.080645161290323
AMD Ryzen 5 PRO 2600,CPU,12.0,65.0,192.0,4800.0,3400.0,13250.0,15.04,2263.0,7.77,65.0,203.84,6.0,203.84615384615384
AMD Phenom X4 9450e,CPU,65.0,65.0,285.0,450.0,2100.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
AMD A4-3420,CPU,32.0,65.0,228.0,1178.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Pentium 4 1.80,CPU,180.0,67.0,217.0,42.0,1800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,25.58955223880597
AMD Opteron 248,CPU,90.0,85.0,148.0,106.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.17058823529412
Intel Pentium 4 506,CPU,90.0,84.0,109.0,125.0,2660.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.410714285714285
Intel Core i7-3840QM,CPU,22.0,45.0,160.0,1400.0,2800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,38.1
Intel Pentium 4 2.53,CPU,130.0,110.0,146.0,55.0,2527.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,15.586363636363636
Intel Mobile Pentium 4 2.40,CPU,130.0,60.0,131.0,55.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,28.575
Intel Xeon Phi 7110P,CPU,22.0,300.0,350.0,5000.0,1250.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,5.715
Intel Core i3-7300,CPU,14.0,51.0,148.0,624.0,4000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,33.61764705882353
Intel Core i7-3520M,CPU,22.0,35.0,118.0,624.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Turion 64 MT-30,CPU,90.0,22.0,125.0,114.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,77.93181818181819
AMD Sempron LE-1300,CPU,65.0,45.0,148.0,624.0,2300.0,400.0,14.81,389.0,14.42,45.0,8.89,1.0,8.88888888888889
Intel Atom Z625,CPU,45.0,2.0,65.0,140.0,1900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,857.25
Intel Core i5-4200U,CPU,22.0,15.0,118.0,1400.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
Intel Pentium E5700,CPU,45.0,65.0,82.0,228.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,26.376923076923077
Intel Core i3-3110M,CPU,22.0,35.0,118.0,624.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Pentium G3420T,CPU,22.0,35.0,177.0,1400.0,2700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD E1-1500,CPU,40.0,18.0,75.0,624.0,1480.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,95.25
AMD A10-9700E,CPU,28.0,35.0,246.0,1178.0,3000.0,2947.0,31.7,1413.0,15.2,35.0,84.21,4.0,84.2
Intel Pentium 4-M 2.00,CPU,130.0,32.0,131.0,55.0,2000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,53.578125
Intel Xeon E5620,CPU,32.0,80.0,239.0,1170.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,21.43125
Intel Core i3-3120M,CPU,22.0,35.0,118.0,624.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Opteron 6274,CPU,32.0,115.0,316.0,2400.0,2200.0,5286.0,5.97,849.0,0.96,115.0,45.97,8.0,45.96521739130435
AMD Ryzen 7 1800X,CPU,14.0,95.0,192.0,4800.0,3600.0,16306.0,91.59,2186.0,12.28,95.0,171.64,8.0,171.6421052631579
Intel Core i3-3120ME,CPU,22.0,35.0,118.0,624.0,2400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Ryzen 3 3200U,CPU,12.0,15.0,210.0,4940.0,2600.0,3885.0,15.04,1826.0,7.77,15.0,259.03,2.0,259.0
Intel Xeon E-2124G,CPU,14.0,72.0,126.0,1400.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,23.8125
AMD Athlon 700,CPU,180.0,40.0,120.0,37.0,700.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,42.8625
AMD Athlon 64 2700+,CPU,130.0,32.0,144.0,69.0,1600.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,53.578125
AMD Ryzen 7 2700X,CPU,12.0,105.0,192.0,4800.0,3700.0,17578.0,82.54,2436.0,11.44,105.0,167.41,8.0,167.40952380952382
AMD Ryzen Embedded V1807B,CPU,14.0,45.0,210.0,4950.0,3350.0,8488.0,15.04,2190.0,7.77,45.0,188.62,4.0,188.62222222222223
AMD Athlon II X3 415e,CPU,45.0,45.0,169.0,300.0,2500.0,1441.0,19.21,1028.0,13.71,45.0,32.02,3.0,32.022222222222226
Intel Core i5-2310,CPU,32.0,95.0,216.0,1160.0,2900.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
AMD FX-8320,CPU,32.0,125.0,315.0,1200.0,3500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Core i7-10700K,CPU,14.0,125.0,148.0,624.0,3800.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
AMD Opteron 6386 SE,CPU,32.0,140.0,315.0,2400.0,2800.0,8320.0,61.59,1340.0,9.92,140.0,59.43,16.0,59.42857142857143
AMD Opteron X2 875,CPU,90.0,95.0,148.0,233.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,18.04736842105263
Intel Celeron 877,CPU,32.0,17.0,131.0,504.0,1400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,100.8529411764706
AMD Phenom II X6 1100T BE,CPU,45.0,125.0,346.0,904.0,3300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.716
Intel Core i3-5157U,CPU,14.0,28.0,148.0,624.0,2500.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,61.232142857142854
Intel Core i3-4130,CPU,22.0,54.0,177.0,1400.0,3400.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,31.75
Intel Core i7-3910K,CPU,32.0,130.0,435.0,2270.0,3000.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,13.188461538461539
Intel Core i7-3632QM,CPU,22.0,35.0,160.0,1480.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
Intel Core i7-8670T,CPU,14.0,35.0,148.0,624.0,2300.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,48.98571428571429
AMD Opteron 144,CPU,90.0,67.0,148.0,106.0,1800.0,316.0,10.55,376.0,12.56,67.0,4.72,1.0,4.7164179104477615
Intel Core i7-5650U,CPU,14.0,15.0,148.0,624.0,2200.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,114.3
Intel Pentium 4 HT 515,CPU,90.0,84.0,109.0,125.0,2933.0,1714.5,15.04,1100.5,7.77,65.0,,2.0,20.410714285714285
